symbol,base_symbol,exchange,name
RELIANCE.NS,RELIANCE,NSE,Reliance Industries
TCS.NS,TCS,NSE,Tata Consultancy Services
HDFCBANK.NS,HDFCBANK,NSE,HDFC Bank
ICICIBANK.NS,ICICIBANK,NSE,ICICI Bank
INFY.NS,INFY,NSE,Infosys
HINDUNILVR.NS,HINDUNILVR,NSE,Hindustan Unilever
ITC.NS,ITC,NSE,ITC
SBIN.NS,SBIN,NSE,State Bank of India
BHARTIARTL.NS,BHARTIARTL,NSE,Bharti Airtel
KOTAKBANK.NS,KOTAKBANK,NSE,Kotak Mahindra Bank
LT.NS,LT,NSE,Larsen & Toubro
AXISBANK.NS,AXISBANK,NSE,Axis Bank
BAJFINANCE.NS,BAJFINANCE,NSE,Bajaj Finance
ASIANPAINT.NS,ASIANPAINT,NSE,Asian Paints
MARUTI.NS,MARUTI,NSE,Maruti Suzuki India
HCLTECH.NS,HCLTECH,NSE,HCL Technologies
SUNPHARMA.NS,SUNPHARMA,NSE,Sun Pharmaceutical Industries
TITAN.NS,TITAN,NSE,Titan Company
ULTRACEMCO.NS,ULTRACEMCO,NSE,UltraTech Cement
WIPRO.NS,WIPRO,NSE,Wipro
NESTLEIND.NS,NESTLEIND,NSE,Nestle India
BAJAJFINSV.NS,BAJAJFINSV,NSE,Bajaj Finserv
ONGC.NS,ONGC,NSE,Oil and Natural Gas Corporation
NTPC.NS,NTPC,NSE,NTPC
POWERGRID.NS,POWERGRID,NSE,Power Grid Corporation of India
TATAMOTORS.NS,TATAMOTORS,NSE,Tata Motors
TATASTEEL.NS,TATASTEEL,NSE,Tata Steel
JSWSTEEL.NS,JSWSTEEL,NSE,JSW Steel
ADANIENT.NS,ADANIENT,NSE,Adani Enterprises
ADANIPORTS.NS,ADANIPORTS,NSE,Adani Ports and SEZ
INDUSINDBK.NS,INDUSINDBK,NSE,IndusInd Bank
GRASIM.NS,GRASIM,NSE,Grasim Industries
TECHM.NS,TECHM,NSE,Tech Mahindra
COALINDIA.NS,COALINDIA,NSE,Coal India
HINDALCO.NS,HINDALCO,NSE,Hindalco Industries
DRREDDY.NS,DRREDDY,NSE,Dr Reddy's Laboratories
CIPLA.NS,CIPLA,NSE,Cipla
BRITANNIA.NS,BRITANNIA,NSE,Britannia Industries
EICHERMOT.NS,EICHERMOT,NSE,Eicher Motors
BAJAJ-AUTO.NS,BAJAJ-AUTO,NSE,Bajaj Auto
APOLLOHOSP.NS,APOLLOHOSP,NSE,Apollo Hospitals Enterprise
DIVISLAB.NS,DIVISLAB,NSE,Divi's Laboratories
HEROMOTOCO.NS,HEROMOTOCO,NSE,Hero MotoCorp
SBILIFE.NS,SBILIFE,NSE,SBI Life Insurance
HDFCLIFE.NS,HDFCLIFE,NSE,HDFC Life Insurance
BPCL.NS,BPCL,NSE,Bharat Petroleum Corporation
LTIM.NS,LTIM,NSE,LTIMindtree
SHRIRAMFIN.NS,SHRIRAMFIN,NSE,Shriram Finance
TATACONSUM.NS,TATACONSUM,NSE,Tata Consumer Products
TRENT.NS,TRENT,NSE,Trent
M&M.NS,M&M,NSE,Mahindra & Mahindra
